127.0.0.1 - - [30/Apr/2019:08:41:32 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/Login2.html HTTP/1.1" 200 7996
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/css/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/img/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /TermProject/assets/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:34 +0900] "GET /TermProject/assets/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:34 +0900] "GET /TermProject/assets/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:34 +0900] "GET /TermProject/assets/js/isotope.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:34 +0900] "GET /TermProject/assets/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:34 +0900] "GET /TermProject/assets/js/jquery.scrollTo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:34 +0900] "GET /TermProject/assets/js/smooth.scroll.min.js HTTP/1.1" 304 -
